Èas;Ime;Državljanstvo;Datum;Kraj prvenstva
1:20.3;Karin Beyer; East Germany;July 20, 1958;Berlin, East Germany
1:19.6;Karin Beyer; East Germany;September 12, 1958;Leipzig, East Germany
1:19.1;Wiltrud Urselmann; West Germany;March 12, 1960;Zürich, Switzerland
1:19.0;Ursula Küper; East Germany;July 14, 1960;Leipzig, East Germany
1:18.2;Barbara Göbel; East Germany;July 1, 1961;Rostock, East Germany
1:17.9;Claudia Kolb; United States;July 11, 1964;Los Angeles, United States
1:17.2;Svetlana Babanina; Soviet Union;September 3, 1964;Moscow, Soviet Union
1:16.5;Svetlana Babanina; Soviet Union;May 11, 1965;Tashkent, Soviet Union
1:15.7;Galina Prozumenshchikova; Soviet Union;July 17, 1966;Leningrad, Soviet Union
1:15.6;Catie Ball; United States;December 28, 1966;Fort Lauderdale, United States
1:14.8;Catie Ball; United States;July 31, 1967;Winnipeg, Canada
1:14.6;Catie Ball; United States;August 19, 1967;Philadelphia, United States
1:14.2;Catie Ball; United States;August 25, 1968;Los Angeles, United States
1:13.58;Cathy Carr; United States;September 2, 1972;Munich, West Germany
1:12.91;Renate Vogel; East Germany;August 22, 1974;Vienna, Austria
1:12.55;Cristel Justen; West Germany;August 23, 1974;Vienna, Austria
1:12.28;Renate Vogel; East Germany;September 1, 1974;Concord, United States
1:11.93;Carola Nitschke; East Germany;June 2, 1976;Berlin, East Germany
1:11.11;Hannelore Anke; East Germany;July 22, 1976;Montreal, Canada
1:10.86;Hannelore Anke; East Germany;July 22, 1976;Montreal, Canada
1:10.31;Julia Bogdanova; Soviet Union;August 22, 1978;West Berlin, West Germany
1:10.20;Ute Geweniger; East Germany;May 26, 1980;Magdeburg, East Germany
1:10.11;Ute Geweniger; East Germany;July 24, 1980;Moscow, Soviet Union
1:09.52;Ute Geweniger; East Germany;April 9, 1981;Gera, East Germany
1:09.39;Ute Geweniger; East Germany;July 2, 1981;Berlin, East Germany
1:08.60;Ute Geweniger; East Germany;September 8, 1981;Split, Yugoslavia
1:08.51;Ute Geweniger; East Germany;August 25, 1983;Rome, Italy
1:08.29;Sylvia Gerasch; East Germany;August 23, 1984;Moscow, Soviet Union
1:08.11;Sylvia Gerasch; East Germany;August 21, 1986;Madrid, Spain
1:07.91;Silke Hörner; East Germany;August 21, 1987;Strasbourg, France
1:07.69;Samantha Riley; Australia;September 9, 1994;Rome, Italy
1:07.46;Penelope Heyns; South Africa;March 4, 1996;Durban, South Africa
1:07.02;Penelope Heyns; South Africa;July 21, 1996;Atlanta, United States
1:06.99;Penelope Heyns; South Africa;July 18, 1999;Los Angeles, United States
1:06.95;Penelope Heyns; South Africa;July 18, 1999;Los Angeles, United States
1:06.52;Penelope Heyns; South Africa;August 23, 1999;Sydney, Australia
1:06.37;Leisel Jones; Australia;July 21, 2003;Barcelona, Spain
1:06.20;Jessica Hardy; United States;July 25, 2005;Montreal, Canada
1:05.71;Leisel Jones; Australia;February 3, 2006;Melbourne, Australia
1:05.09;Leisel Jones; Australia;March 20, 2006;Melbourne, Australia
1:04.84;Rebecca Soni; United States;July 27, 2009;Rome, Italy
1:04.45;Jessica Hardy; United States;August 7, 2009;Federal Way, Washington
1:04.35;R?ta Meilutyt?; Lithuania;July 29, 2013;Barcelona, Spain
